Date,Type,residence,Positive,Negative
11/19/2020,Students,Students - Non-Residential,24,691
11/19/2020,Students,Students - Residential,45,711
11/20/2020,Faculty/Staff,Non-Residential,3,139
11/20/2020,Students,Students - Non-Residential,8,243
11/20/2020,Students,Students - Residential,2,83
11/21/2020,Faculty/Staff,Non-Residential,0,15
11/21/2020,Students,Students - Non-Residential,6,98
11/21/2020,Students,Students - Residential,4,47
11/22/2020,Faculty/Staff,Non-Residential,4,64
11/22/2020,Students,Students - Non-Residential,9,128
11/22/2020,Students,Students - Residential,3,52
11/23/2020,Faculty/Staff,Non-Residential,7,127
11/23/2020,Students,Students - Non-Residential,13,221
11/23/2020,Students,Students - Residential,2,98
11/24/2020,Faculty/Staff,Non-Residential,7,123
11/24/2020,Students,Students - Non-Residential,6,189
11/24/2020,Students,Students - Residential,3,75
11/25/2020,Faculty/Staff,Non-Residential,9,71
11/25/2020,Students,Students - Non-Residential,5,79
11/25/2020,Students,Students - Residential,1,27
11/26/2020,Faculty/Staff,Non-Residential,2,65
11/26/2020,Students,Students - Non-Residential,1,69
11/26/2020,Students,Students - Residential,0,30
11/27/2020,Faculty/Staff,Non-Residential,3,62
11/27/2020,Students,Students - Non-Residential,6,50
11/27/2020,Students,Students - Residential,1,18
11/28/2020,Faculty/Staff,Non-Residential,1,53
11/28/2020,Students,Students - Non-Residential,3,75
11/28/2020,Students,Students - Residential,0,27
11/29/2020,Faculty/Staff,Non-Residential,2,3
11/29/2020,Students,Students - Non-Residential,3,19
11/29/2020,Students,Students - Residential,0,3
11/30/2020,Faculty/Staff,Non-Residential,10,107
11/30/2020,Students,Students - Non-Residential,7,128
11/30/2020,Students,Students - Residential,1,36
12/1/2020,Faculty/Staff,Non-Residential,4,129
12/1/2020,Students,Students - Non-Residential,3,140
12/1/2020,Students,Students - Residential,0,69
12/2/2020,Faculty/Staff,Non-Residential,5,115
12/2/2020,Students,Students - Non-Residential,2,109
12/2/2020,Students,Students - Residential,2,70
12/3/2020,Faculty/Staff,Non-Residential,3,83
12/3/2020,Students,Students - Non-Residential,3,127
12/3/2020,Students,Students - Residential,1,32
12/4/2020,Faculty/Staff,Non-Residential,2,99
12/4/2020,Students,Students - Non-Residential,2,99
12/4/2020,Students,Students - Residential,0,24
12/5/2020,Faculty/Staff,Non-Residential,0,12
12/5/2020,Students,Students - Non-Residential,1,44
12/5/2020,Students,Students - Residential,1,12
12/6/2020,Faculty/Staff,Non-Residential,1,49
12/6/2020,Students,Students - Non-Residential,0,73
12/6/2020,Students,Students - Residential,0,22
12/7/2020,Faculty/Staff,Non-Residential,2,158
12/7/2020,Students,Students - Non-Residential,0,113
12/7/2020,Students,Students - Residential,0,23
12/8/2020,Faculty/Staff,Non-Residential,1,111
12/8/2020,Students,Students - Non-Residential,1,168
12/8/2020,Students,Students - Residential,0,67
12/9/2020,Faculty/Staff,Non-Residential,5,113
12/9/2020,Students,Students - Non-Residential,1,127
12/9/2020,Students,Students - Residential,0,62
12/10/2020,Faculty/Staff,Non-Residential,1,82
12/10/2020,Students,Students - Non-Residential,3,148
12/10/2020,Students,Students - Residential,0,36
12/11/2020,Faculty/Staff,Non-Residential,2,100
12/11/2020,Students,Students - Non-Residential,1,119
12/11/2020,Students,Students - Residential,1,30
12/12/2020,Faculty/Staff,Non-Residential,0,7
12/12/2020,Students,Students - Non-Residential,2,19
12/12/2020,Students,Students - Residential,0,2
12/13/2020,Faculty/Staff,Non-Residential,2,76
12/13/2020,Students,Students - Non-Residential,3,94
12/13/2020,Students,Students - Residential,0,39
12/14/2020,Faculty/Staff,Non-Residential,1,112
12/14/2020,Students,Students - Non-Residential,1,72
12/14/2020,Students,Students - Residential,0,7
12/15/2020,Faculty/Staff,Non-Residential,5,105
12/15/2020,Students,Students - Non-Residential,0,195
12/15/2020,Students,Students - Residential,0,68
12/16/2020,Faculty/Staff,Non-Residential,3,95
12/16/2020,Students,Students - Non-Residential,2,103
12/16/2020,Students,Students - Residential,1,39
12/17/2020,Faculty/Staff,Non-Residential,4,101
12/17/2020,Students,Students - Non-Residential,1,133
12/17/2020,Students,Students - Residential,0,32
12/18/2020,Faculty/Staff,Non-Residential,7,75
12/18/2020,Students,Students - Non-Residential,1,92
12/18/2020,Students,Students - Residential,0,29
12/19/2020,Faculty/Staff,Non-Residential,1,2
12/19/2020,Students,Students - Non-Residential,1,26
12/19/2020,Students,Students - Residential,0,2
12/20/2020,Faculty/Staff,Non-Residential,1,16
12/20/2020,Students,Students - Non-Residential,0,34
12/20/2020,Students,Students - Residential,0,8
12/21/2020,Faculty/Staff,Non-Residential,8,117
12/21/2020,Students,Students - Non-Residential,4,108
12/21/2020,Students,Students - Residential,0,22
12/22/2020,Faculty/Staff,Non-Residential,6,72
12/22/2020,Students,Students - Non-Residential,2,104
12/22/2020,Students,Students - Residential,2,45
12/23/2020,Faculty/Staff,Non-Residential,3,116
12/23/2020,Students,Students - Non-Residential,2,107
12/23/2020,Students,Students - Residential,1,37
12/24/2020,Faculty/Staff,Non-Residential,2,59
